#ies_format_version: 1.0
#file: 20250718_5000_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 5.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	power_self_consumption;	FALSE;	TRUE;	kW;	other;	DOUBLE,9. test
YYYYMMDD;	hhmmss;	unixtimestamp;	power_self_consumption
20250718;	101237;	1752813757.000;	    err11
20250718;	101242;	1752813762.000;	    err11
20250718;	101247;	1752813767.000;	    err11
20250718;	101252;	1752813772.000;	    err32
20250718;	101257;	1752813777.000;	    err32
20250718;	101302;	1752813782.000;	    err32
20250718;	101307;	1752813787.000;	    err32
20250718;	101312;	1752813792.000;	    err32
20250718;	101317;	1752813797.000;	    err32
20250718;	101322;	1752813802.000;	    err32
20250718;	101327;	1752813807.000;	    err32
20250718;	101332;	1752813812.000;	    err32
20250718;	101337;	1752813817.000;	    err32
20250718;	101342;	1752813822.000;	    err32
20250718;	101347;	1752813827.000;	    err32
20250718;	101352;	1752813832.000;	    err32
20250718;	101357;	1752813837.000;	    err32
20250718;	101402;	1752813842.000;	    err32
20250718;	101407;	1752813847.000;	    err32
20250718;	101412;	1752813852.000;	    err32
20250718;	101417;	1752813857.000;	    err32
20250718;	101422;	1752813862.000;	    err32
20250718;	101427;	1752813867.000;	    err32
20250718;	101432;	1752813872.000;	    err32
20250718;	101437;	1752813877.000;	    err32
20250718;	101442;	1752813882.000;	    err32
20250718;	101447;	1752813887.000;	    err32
20250718;	101452;	1752813892.000;	    err32
20250718;	101457;	1752813897.000;	    err32
20250718;	101502;	1752813902.000;	    err11
20250718;	101507;	1752813907.000;	    err11
20250718;	101512;	1752813912.000;	    err11
20250718;	101517;	1752813917.000;	    err11
20250718;	101522;	1752813922.000;	    err11
20250718;	101527;	1752813927.000;	    err11
20250718;	101532;	1752813932.000;	    err11
20250718;	101537;	1752813937.000;	    err11
20250718;	101542;	1752813942.000;	    err11
20250718;	101547;	1752813947.000;	    err11
20250718;	101552;	1752813952.000;	    err11
20250718;	101557;	1752813957.000;	    err11
20250718;	101602;	1752813962.000;	    err11
20250718;	101607;	1752813967.000;	    err11
20250718;	101612;	1752813972.000;	    err11
20250718;	101617;	1752813977.000;	    err11
20250718;	101622;	1752813982.000;	    err11
20250718;	101627;	1752813987.000;	    err11
20250718;	101632;	1752813992.000;	    err11
20250718;	101637;	1752813997.000;	    err11
20250718;	101642;	1752814002.000;	    err11
20250718;	101647;	1752814007.000;	    err11
20250718;	101652;	1752814012.000;	    err11
20250718;	101657;	1752814017.000;	    err11
20250718;	101702;	1752814022.000;	    err11
20250718;	101707;	1752814027.000;	    err11
20250718;	101712;	1752814032.000;	    err11
20250718;	101717;	1752814037.000;	    err11
20250718;	101722;	1752814042.000;	    err11
20250718;	101727;	1752814047.000;	    err11
20250718;	101732;	1752814052.000;	    err11
20250718;	101737;	1752814057.000;	    err11
20250718;	101742;	1752814062.000;	    err11
20250718;	101747;	1752814067.000;	    err11
20250718;	101752;	1752814072.000;	    err11
20250718;	101757;	1752814077.000;	    err11
20250718;	101802;	1752814082.000;	    err11
20250718;	101807;	1752814087.000;	    err11
20250718;	101812;	1752814092.000;	    err11
20250718;	101817;	1752814097.000;	    err11
20250718;	101822;	1752814102.000;	    err11
20250718;	101827;	1752814107.000;	    err11
20250718;	101832;	1752814112.000;	    err11
20250718;	101837;	1752814117.000;	    err11
20250718;	101842;	1752814122.000;	    err11
20250718;	101847;	1752814127.000;	    err11
20250718;	101852;	1752814132.000;	    err11
20250718;	101857;	1752814137.000;	    err11
20250718;	101902;	1752814142.000;	    err11
20250718;	101907;	1752814147.000;	    err11
20250718;	101912;	1752814152.000;	    err11
20250718;	101917;	1752814157.000;	    err11
20250718;	101922;	1752814162.000;	    err11
20250718;	101927;	1752814167.000;	    err11
20250718;	101932;	1752814172.000;	    err11
20250718;	101937;	1752814177.000;	    err11
20250718;	101942;	1752814182.000;	    err11
20250718;	101947;	1752814187.000;	    err11
20250718;	101952;	1752814192.000;	    err11
20250718;	101957;	1752814197.000;	    err11
20250718;	102002;	1752814202.000;	    err11
20250718;	102007;	1752814207.000;	    err11
20250718;	102012;	1752814212.000;	    err11
20250718;	102017;	1752814217.000;	    err11
20250718;	102022;	1752814222.000;	    err11
20250718;	102027;	1752814227.000;	    err11
20250718;	102032;	1752814232.000;	    err11
20250718;	102037;	1752814237.000;	    err11
20250718;	102042;	1752814242.000;	    err11
20250718;	102047;	1752814247.000;	    err11
20250718;	102052;	1752814252.000;	    err11
20250718;	102057;	1752814257.000;	    err11
20250718;	102102;	1752814262.000;	    err11
20250718;	102107;	1752814267.000;	    err11
20250718;	102112;	1752814272.000;	    err11
20250718;	102117;	1752814277.000;	    err11
20250718;	102122;	1752814282.000;	    err11
20250718;	102127;	1752814287.000;	    err11
20250718;	102132;	1752814292.000;	    err11
20250718;	102137;	1752814297.000;	    err11
20250718;	102142;	1752814302.000;	    err11
20250718;	102147;	1752814307.000;	    err11
20250718;	102152;	1752814312.000;	    err11
20250718;	102157;	1752814317.000;	    err11
20250718;	102202;	1752814322.000;	    err11
20250718;	102207;	1752814327.000;	    err11
20250718;	102212;	1752814332.000;	    err32
20250718;	102217;	1752814337.000;	    err32
20250718;	102222;	1752814342.000;	    err32
20250718;	102227;	1752814347.000;	    err32
20250718;	102232;	1752814352.000;	    err32
20250718;	102237;	1752814357.000;	    err32
20250718;	102242;	1752814362.000;	    err32
20250718;	102247;	1752814367.000;	    err32
20250718;	102252;	1752814372.000;	    err32
20250718;	102257;	1752814377.000;	    err32
20250718;	102302;	1752814382.000;	    err32
20250718;	102307;	1752814387.000;	    err32
20250718;	102312;	1752814392.000;	    err32
20250718;	102317;	1752814397.000;	    err32
20250718;	102322;	1752814402.000;	    err32
20250718;	102327;	1752814407.000;	    err11
20250718;	102332;	1752814412.000;	    err11
20250718;	102337;	1752814417.000;	    err11
20250718;	102342;	1752814422.000;	    err11
20250718;	102347;	1752814427.000;	    err11
20250718;	102352;	1752814432.000;	    err11
20250718;	102357;	1752814437.000;	    err11
20250718;	102402;	1752814442.000;	    err11
20250718;	102407;	1752814447.000;	    err11
20250718;	102412;	1752814452.000;	    err11
20250718;	102417;	1752814457.000;	    err11
20250718;	102422;	1752814462.000;	    err11
20250718;	102427;	1752814467.000;	    err11
20250718;	102432;	1752814472.000;	    err11
20250718;	102437;	1752814477.000;	    err11
20250718;	102442;	1752814482.000;	    err11
20250718;	102447;	1752814487.000;	    err11
20250718;	102452;	1752814492.000;	    err11
20250718;	102457;	1752814497.000;	    err11
20250718;	102502;	1752814502.000;	    err11
20250718;	102507;	1752814507.000;	    err11
20250718;	102512;	1752814512.000;	    err11
20250718;	102517;	1752814517.000;	    err11
20250718;	102522;	1752814522.000;	    err11
20250718;	102527;	1752814527.000;	    err11
20250718;	102532;	1752814532.000;	    err11
20250718;	102537;	1752814537.000;	    err11
20250718;	102542;	1752814542.000;	    err11
20250718;	102547;	1752814547.000;	    err11
20250718;	102552;	1752814552.000;	    err11
20250718;	102557;	1752814557.000;	    err11
20250718;	102602;	1752814562.000;	    err11
20250718;	102607;	1752814567.000;	    err11
20250718;	102612;	1752814572.000;	    err11
20250718;	102617;	1752814577.000;	    err11
20250718;	102622;	1752814582.000;	    err11
20250718;	102627;	1752814587.000;	    err11
20250718;	102632;	1752814592.000;	    err11
20250718;	102637;	1752814597.000;	    err11
20250718;	102642;	1752814602.000;	    err11
20250718;	102647;	1752814607.000;	    err11
20250718;	102652;	1752814612.000;	    err11
20250718;	102657;	1752814617.000;	    err11
20250718;	102702;	1752814622.000;	    err11
20250718;	102707;	1752814627.000;	    err11
20250718;	102712;	1752814632.000;	    err11
20250718;	102717;	1752814637.000;	    err11
20250718;	102722;	1752814642.000;	    err11
20250718;	102727;	1752814647.000;	    err11
20250718;	102732;	1752814652.000;	    err11
20250718;	102737;	1752814657.000;	    err11
20250718;	102742;	1752814662.000;	    err11
20250718;	102747;	1752814667.000;	    err11
20250718;	102752;	1752814672.000;	    err11
20250718;	102757;	1752814677.000;	    err11
20250718;	102802;	1752814682.000;	    err11
20250718;	102807;	1752814687.000;	    err11
20250718;	102812;	1752814692.000;	    err11
20250718;	102817;	1752814697.000;	    err11
20250718;	102822;	1752814702.000;	    err11
20250718;	102827;	1752814707.000;	    err11
20250718;	102832;	1752814712.000;	    err11
20250718;	102837;	1752814717.000;	    err11
20250718;	102842;	1752814722.000;	    err11
20250718;	102847;	1752814727.000;	    err11
20250718;	102852;	1752814732.000;	    err11
20250718;	102857;	1752814737.000;	    err11
20250718;	102902;	1752814742.000;	    err11
20250718;	102907;	1752814747.000;	    err11
20250718;	102912;	1752814752.000;	    err11
20250718;	102917;	1752814757.000;	    err11
20250718;	102922;	1752814762.000;	    err11
