#ies_format_version: 1.0
#file: 20250721_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	mdevice1_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	mdevice1_A_18
20250721;	124018;	1753081818.000;	       err11
20250721;	124019;	1753081819.000;	       err11
20250721;	124020;	1753081820.000;	       err11
20250721;	124021;	1753081821.000;	       err11
20250721;	124022;	1753081822.000;	       err11
20250721;	124023;	1753081823.000;	       err11
20250721;	124024;	1753081824.000;	       err11
20250721;	124025;	1753081825.000;	       err11
20250721;	124026;	1753081826.000;	       err11
20250721;	124027;	1753081827.000;	       err11
20250721;	124028;	1753081828.000;	       err11
20250721;	124029;	1753081829.000;	       err11
20250721;	124030;	1753081830.000;	       err11
20250721;	124031;	1753081831.000;	       err11
20250721;	124032;	1753081832.000;	       err11
20250721;	124033;	1753081833.000;	       err11
20250721;	124034;	1753081834.000;	       err11
20250721;	124035;	1753081835.000;	       err11
20250721;	124036;	1753081836.000;	       err11
20250721;	124037;	1753081837.000;	       err11
20250721;	124038;	1753081838.000;	       err11
20250721;	124039;	1753081839.000;	       err11
20250721;	124040;	1753081840.000;	       err11
20250721;	124041;	1753081841.000;	       err11
20250721;	124042;	1753081842.000;	       err11
20250721;	124043;	1753081843.000;	       err11
20250721;	124044;	1753081844.000;	       err11
20250721;	124045;	1753081845.000;	       err11
20250721;	124046;	1753081846.000;	       err11
20250721;	124047;	1753081847.000;	       err11
20250721;	124048;	1753081848.000;	       err11
20250721;	124049;	1753081849.000;	       err11
20250721;	124050;	1753081850.000;	       err11
20250721;	124051;	1753081851.000;	       err11
20250721;	124052;	1753081852.000;	       err11
20250721;	124053;	1753081853.000;	       err11
20250721;	124054;	1753081854.000;	       err11
20250721;	124055;	1753081855.000;	       err11
20250721;	124056;	1753081856.000;	       err11
20250721;	124057;	1753081857.000;	       err11
20250721;	124058;	1753081858.000;	       err11
20250721;	124059;	1753081859.000;	       err11
20250721;	124100;	1753081860.000;	       err11
20250721;	124101;	1753081861.000;	       err11
20250721;	124102;	1753081862.000;	       err11
20250721;	124103;	1753081863.000;	       err11
20250721;	124104;	1753081864.000;	       err11
20250721;	124105;	1753081865.000;	       err11
20250721;	124106;	1753081866.000;	       err11
20250721;	124107;	1753081867.000;	       err11
20250721;	124108;	1753081868.000;	       err11
20250721;	124109;	1753081869.000;	       err11
20250721;	124110;	1753081870.000;	       err11
20250721;	124111;	1753081871.000;	       err11
20250721;	124112;	1753081872.000;	       err11
20250721;	124113;	1753081873.000;	       err11
20250721;	124114;	1753081874.000;	       err11
20250721;	124115;	1753081875.000;	       err11
20250721;	124116;	1753081876.000;	       err11
20250721;	124117;	1753081877.000;	       err11
20250721;	124118;	1753081878.000;	       err11
20250721;	124119;	1753081879.000;	       err11
20250721;	124120;	1753081880.000;	       err11
20250721;	124121;	1753081881.000;	       err11
20250721;	124122;	1753081882.000;	       err11
20250721;	124123;	1753081883.000;	       err11
20250721;	124124;	1753081884.000;	       err11
20250721;	124125;	1753081885.000;	       err11
20250721;	124126;	1753081886.000;	       err11
20250721;	124127;	1753081887.000;	       err11
20250721;	124128;	1753081888.000;	       err11
20250721;	124129;	1753081889.000;	       err11
20250721;	124130;	1753081890.000;	       err11
20250721;	124131;	1753081891.000;	       err11
20250721;	124132;	1753081892.000;	       err11
20250721;	124133;	1753081893.000;	       err11
20250721;	124134;	1753081894.000;	       err11
20250721;	124135;	1753081895.000;	       err11
20250721;	124136;	1753081896.000;	       err11
20250721;	124137;	1753081897.000;	       err11
20250721;	124138;	1753081898.000;	       err11
20250721;	124139;	1753081899.000;	       err11
20250721;	124140;	1753081900.000;	       err11
20250721;	124141;	1753081901.000;	       err11
20250721;	124142;	1753081902.000;	       err11
20250721;	124143;	1753081903.000;	       err11
20250721;	124144;	1753081904.000;	       err11
20250721;	124145;	1753081905.000;	       err11
20250721;	124146;	1753081906.000;	       err11
20250721;	124147;	1753081907.000;	       err11
20250721;	124148;	1753081908.000;	       err11
20250721;	124149;	1753081909.000;	       err11
20250721;	124150;	1753081910.000;	       err11
20250721;	124151;	1753081911.000;	       err11
20250721;	124152;	1753081912.000;	       err11
20250721;	124153;	1753081913.000;	       err11
20250721;	124154;	1753081914.000;	       err11
20250721;	124155;	1753081915.000;	       err11
20250721;	124156;	1753081916.000;	       err11
20250721;	124157;	1753081917.000;	       err11
20250721;	124158;	1753081918.000;	       err11
20250721;	124159;	1753081919.000;	       err11
20250721;	124200;	1753081920.000;	       err11
20250721;	124201;	1753081921.000;	       err11
20250721;	124202;	1753081922.000;	       err11
20250721;	124203;	1753081923.000;	       err11
20250721;	124204;	1753081924.000;	       err11
20250721;	124205;	1753081925.000;	       err11
20250721;	124206;	1753081926.000;	       err11
20250721;	124207;	1753081927.000;	       err11
20250721;	124208;	1753081928.000;	       err11
20250721;	124209;	1753081929.000;	       err11
20250721;	124210;	1753081930.000;	       err11
20250721;	124211;	1753081931.000;	       err11
20250721;	124212;	1753081932.000;	       err11
20250721;	124213;	1753081933.000;	       err11
20250721;	124214;	1753081934.000;	       err11
20250721;	124215;	1753081935.000;	       err11
20250721;	124216;	1753081936.000;	       err11
20250721;	124217;	1753081937.000;	       err11
20250721;	124218;	1753081938.000;	       err11
20250721;	124219;	1753081939.000;	       err11
20250721;	124220;	1753081940.000;	       err11
20250721;	124221;	1753081941.000;	       err11
20250721;	124222;	1753081942.000;	       err11
20250721;	124223;	1753081943.000;	       err11
20250721;	124224;	1753081944.000;	       err11
20250721;	124225;	1753081945.000;	       err11
20250721;	124226;	1753081946.000;	       err11
20250721;	124227;	1753081947.000;	       err11
20250721;	124228;	1753081948.000;	       err11
20250721;	124229;	1753081949.000;	       err11
