#ies_format_version: 1.0
#file: 20250721_2000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 2.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest_A_18
20250721;	171740;	1753098460.000;	        err7
20250721;	171742;	1753098462.000;	           0
20250721;	171744;	1753098464.000;	           0
20250721;	171746;	1753098466.000;	           0
20250721;	171748;	1753098468.000;	           0
20250721;	171750;	1753098470.000;	           0
20250721;	171752;	1753098472.000;	           0
20250721;	171754;	1753098474.000;	           0
20250721;	171756;	1753098476.000;	           0
20250721;	171758;	1753098478.000;	           0
20250721;	171800;	1753098480.000;	           0
20250721;	171802;	1753098482.000;	           0
20250721;	171804;	1753098484.000;	           0
20250721;	171806;	1753098486.000;	           0
20250721;	171808;	1753098488.000;	           0
20250721;	171810;	1753098490.000;	           0
20250721;	171812;	1753098492.000;	           0
20250721;	171814;	1753098494.000;	       err32
20250721;	171816;	1753098496.000;	       err32
20250721;	171818;	1753098498.000;	       err32
20250721;	171820;	1753098500.000;	       err32
20250721;	171822;	1753098502.000;	       err32
20250721;	171824;	1753098504.000;	       err32
20250721;	171826;	1753098506.000;	       err32
20250721;	171828;	1753098508.000;	       err32
20250721;	171830;	1753098510.000;	       err32
20250721;	171832;	1753098512.000;	       err32
20250721;	171834;	1753098514.000;	       err32
20250721;	171836;	1753098516.000;	       err32
20250721;	171838;	1753098518.000;	       err32
20250721;	171840;	1753098520.000;	       err32
20250721;	171842;	1753098522.000;	       err32
20250721;	171844;	1753098524.000;	       err32
20250721;	171846;	1753098526.000;	       err32
20250721;	171848;	1753098528.000;	       err32
20250721;	171850;	1753098530.000;	       err32
20250721;	171852;	1753098532.000;	       err32
20250721;	171854;	1753098534.000;	       err32
20250721;	171856;	1753098536.000;	       err32
20250721;	171858;	1753098538.000;	       err32
20250721;	171900;	1753098540.000;	       err32
20250721;	171902;	1753098542.000;	       err32
