#ies_format_version: 1.0
#file: 20250723_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest2_B_19;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest2_B_19
20250723;	180954;	1753274394.000;	       err20
20250723;	180957;	1753274397.000;	       err20
20250723;	181000;	1753274400.000;	       err20
20250723;	181003;	1753274403.000;	       err20
20250723;	181006;	1753274406.000;	       err20
20250723;	181009;	1753274409.000;	       err20
20250723;	181012;	1753274412.000;	       err20
20250723;	181015;	1753274415.000;	       err20
20250723;	181018;	1753274418.000;	       err20
20250723;	181021;	1753274421.000;	       err20
20250723;	181024;	1753274424.000;	       err20
20250723;	181027;	1753274427.000;	       err32
20250723;	181030;	1753274430.000;	       err32
20250723;	181033;	1753274433.000;	       err32
20250723;	181036;	1753274436.000;	       err32
20250723;	181039;	1753274439.000;	       err32
20250723;	181042;	1753274442.000;	       err32
20250723;	181045;	1753274445.000;	       err32
20250723;	181048;	1753274448.000;	       err32
20250723;	181051;	1753274451.000;	       err32
20250723;	181054;	1753274454.000;	       err32
20250723;	181057;	1753274457.000;	       err32
20250723;	181100;	1753274460.000;	       err32
20250723;	181103;	1753274463.000;	       err32
20250723;	181106;	1753274466.000;	       err32
20250723;	181109;	1753274469.000;	       err32
20250723;	181112;	1753274472.000;	       err32
20250723;	181115;	1753274475.000;	       err32
20250723;	181118;	1753274478.000;	       err32
20250723;	181121;	1753274481.000;	       err32
20250723;	181124;	1753274484.000;	       err32
20250723;	181127;	1753274487.000;	       err32
20250723;	181130;	1753274490.000;	       err32
20250723;	181133;	1753274493.000;	       err32
20250723;	181136;	1753274496.000;	       err32
20250723;	181139;	1753274499.000;	       err32
20250723;	181142;	1753274502.000;	       err32
20250723;	181145;	1753274505.000;	       err32
20250723;	181148;	1753274508.000;	       err32
20250723;	181151;	1753274511.000;	       err32
20250723;	181154;	1753274514.000;	       err32
20250723;	181157;	1753274517.000;	       err32
20250723;	181200;	1753274520.000;	       err32
20250723;	181203;	1753274523.000;	       err32
20250723;	181206;	1753274526.000;	       err32
20250723;	181209;	1753274529.000;	       err32
20250723;	181212;	1753274532.000;	       err32
20250723;	181215;	1753274535.000;	       err32
20250723;	181218;	1753274538.000;	       err32
20250723;	181221;	1753274541.000;	       err32
20250723;	181224;	1753274544.000;	       err32
20250723;	181227;	1753274547.000;	       err32
20250723;	181230;	1753274550.000;	       err32
20250723;	181233;	1753274553.000;	       err32
20250723;	181236;	1753274556.000;	       err32
20250723;	181239;	1753274559.000;	       err32
20250723;	181242;	1753274562.000;	        err7
20250723;	181245;	1753274565.000;	           0
20250723;	181248;	1753274568.000;	           0
20250723;	181251;	1753274571.000;	           0
20250723;	181254;	1753274574.000;	           0
