#ies_format_version: 1.0
#file: 20250728_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	devTest2_A_18;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	devTest2_A_18
20250728;	163533;	1753700733.000;	        err7
20250728;	163536;	1753700736.000;	       err20
20250728;	163539;	1753700739.000;	       err20
20250728;	163542;	1753700742.000;	       err20
20250728;	163545;	1753700745.000;	       err20
20250728;	163548;	1753700748.000;	       err20
20250728;	163551;	1753700751.000;	       err20
20250728;	163554;	1753700754.000;	       err20
20250728;	163557;	1753700757.000;	       err20
20250728;	163600;	1753700760.000;	       err20
20250728;	163603;	1753700763.000;	       err20
20250728;	163606;	1753700766.000;	       err20
20250728;	163609;	1753700769.000;	       err20
20250728;	163612;	1753700772.000;	       err32
20250728;	163615;	1753700775.000;	       err32
20250728;	163618;	1753700778.000;	       err32
20250728;	163621;	1753700781.000;	       err32
20250728;	163624;	1753700784.000;	       err32
20250728;	163627;	1753700787.000;	       err32
20250728;	163630;	1753700790.000;	       err32
20250728;	163633;	1753700793.000;	       err32
20250728;	163636;	1753700796.000;	       err32
20250728;	163639;	1753700799.000;	       err32
20250728;	163642;	1753700802.000;	       err32
20250728;	163645;	1753700805.000;	       err32
20250728;	163648;	1753700808.000;	       err32
20250728;	163651;	1753700811.000;	       err32
20250728;	163654;	1753700814.000;	       err32
20250728;	163657;	1753700817.000;	       err32
20250728;	163700;	1753700820.000;	       err32
20250728;	163703;	1753700823.000;	       err32
20250728;	163706;	1753700826.000;	       err32
20250728;	163709;	1753700829.000;	       err32
20250728;	163712;	1753700832.000;	       err32
20250728;	163715;	1753700835.000;	       err32
20250728;	163718;	1753700838.000;	       err32
20250728;	163721;	1753700841.000;	       err32
20250728;	163724;	1753700844.000;	       err32
20250728;	163727;	1753700847.000;	       err32
20250728;	163730;	1753700850.000;	       err32
20250728;	163733;	1753700853.000;	       err32
20250728;	163736;	1753700856.000;	       err32
20250728;	163739;	1753700859.000;	       err32
20250728;	163742;	1753700862.000;	       err32
20250728;	163745;	1753700865.000;	       err32
20250728;	163748;	1753700868.000;	       err32
20250728;	163751;	1753700871.000;	       err32
20250728;	163754;	1753700874.000;	       err32
20250728;	163757;	1753700877.000;	       err32
20250728;	163800;	1753700880.000;	       err32
20250728;	163803;	1753700883.000;	       err32
20250728;	163806;	1753700886.000;	       err32
20250728;	163809;	1753700889.000;	       err32
20250728;	163812;	1753700892.000;	       err32
20250728;	163815;	1753700895.000;	       err32
20250728;	163818;	1753700898.000;	        err7
20250728;	163821;	1753700901.000;	       err20
20250728;	163824;	1753700904.000;	       err20
20250728;	163827;	1753700907.000;	       err20
20250728;	163830;	1753700910.000;	       err20
20250728;	163833;	1753700913.000;	       err20
20250728;	163836;	1753700916.000;	       err20
20250728;	163839;	1753700919.000;	       err32
20250728;	163842;	1753700922.000;	       err32
20250728;	163845;	1753700925.000;	       err32
20250728;	163848;	1753700928.000;	       err32
20250728;	163851;	1753700931.000;	       err32
20250728;	163854;	1753700934.000;	       err32
20250728;	163857;	1753700937.000;	       err32
20250728;	163900;	1753700940.000;	       err32
20250728;	163903;	1753700943.000;	       err32
20250728;	163906;	1753700946.000;	       err32
20250728;	163909;	1753700949.000;	       err32
20250728;	163912;	1753700952.000;	       err32
20250728;	163915;	1753700955.000;	       err32
20250728;	163918;	1753700958.000;	       err32
20250728;	163921;	1753700961.000;	       err32
20250728;	163924;	1753700964.000;	       err32
20250728;	163927;	1753700967.000;	       err32
20250728;	163930;	1753700970.000;	       err32
20250728;	163933;	1753700973.000;	       err32
20250728;	163936;	1753700976.000;	       err32
20250728;	163939;	1753700979.000;	       err32
20250728;	163942;	1753700982.000;	       err32
20250728;	163945;	1753700985.000;	       err32
20250728;	163948;	1753700988.000;	       err32
20250728;	163951;	1753700991.000;	       err32
20250728;	163954;	1753700994.000;	       err32
20250728;	163957;	1753700997.000;	       err32
20250728;	164000;	1753701000.000;	       err32
20250728;	164003;	1753701003.000;	       err32
20250728;	164006;	1753701006.000;	       err32
20250728;	164009;	1753701009.000;	       err32
20250728;	164012;	1753701012.000;	       err20
20250728;	164015;	1753701015.000;	       err20
20250728;	164018;	1753701018.000;	       err20
20250728;	164021;	1753701021.000;	       err20
20250728;	164024;	1753701024.000;	       err20
20250728;	164027;	1753701027.000;	       err20
20250728;	164030;	1753701030.000;	       err20
20250728;	164033;	1753701033.000;	       err20
20250728;	164036;	1753701036.000;	       err20
20250728;	164039;	1753701039.000;	       err20
20250728;	164042;	1753701042.000;	       err20
20250728;	164045;	1753701045.000;	       err20
20250728;	164048;	1753701048.000;	       err20
20250728;	164051;	1753701051.000;	       err20
20250728;	164054;	1753701054.000;	       err20
20250728;	164057;	1753701057.000;	       err20
20250728;	164100;	1753701060.000;	       err20
20250728;	164103;	1753701063.000;	       err20
20250728;	164106;	1753701066.000;	       err20
20250728;	164109;	1753701069.000;	       err20
20250728;	164112;	1753701072.000;	       err20
20250728;	164115;	1753701075.000;	       err20
20250728;	164118;	1753701078.000;	       err20
20250728;	164121;	1753701081.000;	       err20
20250728;	164124;	1753701084.000;	       err20
20250728;	164127;	1753701087.000;	       err20
20250728;	164130;	1753701090.000;	       err20
20250728;	164133;	1753701093.000;	       err20
20250728;	164136;	1753701096.000;	       err20
20250728;	164139;	1753701099.000;	       err20
20250728;	164142;	1753701102.000;	       err32
20250728;	164145;	1753701105.000;	       err32
20250728;	164148;	1753701108.000;	       err32
20250728;	164151;	1753701111.000;	       err32
20250728;	164154;	1753701114.000;	       err32
20250728;	164157;	1753701117.000;	       err32
20250728;	164200;	1753701120.000;	       err32
20250728;	164203;	1753701123.000;	       err32
20250728;	164206;	1753701126.000;	       err32
