#ies_format_version: 1.0
#file: 20250729_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250729;	191700;	1753796820.000;	  err7;	  err7
20250729;	191703;	1753796823.000;	     0;	     0
20250729;	191706;	1753796826.000;	     0;	     0
20250729;	191709;	1753796829.000;	     0;	     0
20250729;	191712;	1753796832.000;	     0;	     0
20250729;	191715;	1753796835.000;	     0;	     0
20250729;	191718;	1753796838.000;	     0;	     0
20250729;	191721;	1753796841.000;	     0;	     0
20250729;	191724;	1753796844.000;	     0;	     0
20250729;	191727;	1753796847.000;	 err32;	 err32
20250729;	191730;	1753796850.000;	 err32;	 err32
20250729;	191733;	1753796853.000;	 err32;	 err32
20250729;	191736;	1753796856.000;	 err32;	 err32
20250729;	191739;	1753796859.000;	 err32;	 err32
20250729;	191742;	1753796862.000;	 err32;	 err32
20250729;	191745;	1753796865.000;	 err32;	 err32
20250729;	191748;	1753796868.000;	 err32;	 err32
20250729;	191751;	1753796871.000;	 err32;	 err32
20250729;	191754;	1753796874.000;	 err32;	 err32
20250729;	191757;	1753796877.000;	 err32;	 err32
20250729;	191800;	1753796880.000;	 err32;	 err32
20250729;	191803;	1753796883.000;	 err32;	 err32
20250729;	191806;	1753796886.000;	 err32;	 err32
20250729;	191809;	1753796889.000;	 err32;	 err32
20250729;	191812;	1753796892.000;	 err32;	 err32
20250729;	191815;	1753796895.000;	 err32;	 err32
20250729;	191818;	1753796898.000;	     0;	     0
20250729;	191821;	1753796901.000;	     0;	     0
20250729;	191824;	1753796904.000;	     0;	     0
20250729;	191827;	1753796907.000;	     0;	     0
20250729;	191830;	1753796910.000;	     0;	     0
20250729;	191833;	1753796913.000;	     0;	     0
20250729;	191836;	1753796916.000;	     0;	     0
20250729;	191839;	1753796919.000;	     0;	     0
20250729;	191842;	1753796922.000;	     0;	     0
20250729;	191845;	1753796925.000;	     0;	     0
20250729;	191848;	1753796928.000;	     0;	     0
20250729;	191851;	1753796931.000;	     0;	     0
20250729;	191854;	1753796934.000;	     0;	     0
20250729;	191857;	1753796937.000;	     0;	     0
20250729;	191900;	1753796940.000;	     1;	     0
20250729;	191903;	1753796943.000;	     1;	     0
20250729;	191906;	1753796946.000;	     1;	     0
20250729;	191909;	1753796949.000;	     1;	     0
20250729;	191912;	1753796952.000;	     1;	     1
20250729;	191915;	1753796955.000;	     1;	     1
20250729;	191918;	1753796958.000;	     1;	     1
20250729;	191921;	1753796961.000;	     1;	     1
20250729;	191924;	1753796964.000;	     1;	     1
20250729;	191927;	1753796967.000;	     1;	     1
20250729;	191930;	1753796970.000;	     1;	     1
20250729;	191933;	1753796973.000;	     1;	     1
20250729;	191936;	1753796976.000;	     1;	     1
20250729;	191939;	1753796979.000;	     1;	     1
20250729;	191942;	1753796982.000;	     1;	     1
20250729;	191945;	1753796985.000;	     1;	     1
20250729;	191948;	1753796988.000;	     1;	     1
20250729;	191951;	1753796991.000;	     1;	     1
20250729;	191954;	1753796994.000;	     1;	     1
20250729;	191957;	1753796997.000;	     1;	     1
20250729;	192000;	1753797000.000;	     1;	     1
20250729;	192003;	1753797003.000;	     1;	     1
20250729;	192006;	1753797006.000;	     1;	     1
20250729;	192009;	1753797009.000;	     1;	     1
20250729;	192012;	1753797012.000;	     1;	     1
20250729;	192015;	1753797015.000;	     1;	     1
20250729;	192018;	1753797018.000;	     1;	     1
20250729;	192021;	1753797021.000;	     1;	     1
20250729;	192024;	1753797024.000;	     1;	     1
20250729;	192027;	1753797027.000;	     1;	     1
20250729;	192030;	1753797030.000;	     1;	     1
20250729;	192033;	1753797033.000;	     1;	     1
20250729;	192036;	1753797036.000;	     1;	     1
20250729;	192039;	1753797039.000;	     1;	     1
20250729;	192042;	1753797042.000;	     1;	     1
20250729;	192045;	1753797045.000;	     1;	     1
20250729;	192048;	1753797048.000;	     1;	     1
20250729;	192051;	1753797051.000;	     1;	     1
20250729;	192054;	1753797054.000;	     1;	     1
20250729;	192057;	1753797057.000;	     1;	     1
20250729;	192100;	1753797060.000;	     1;	     1
20250729;	192103;	1753797063.000;	     1;	     1
20250729;	192106;	1753797066.000;	     1;	     1
20250729;	192109;	1753797069.000;	     1;	     1
20250729;	192112;	1753797072.000;	     1;	     1
20250729;	192115;	1753797075.000;	     1;	     1
20250729;	192118;	1753797078.000;	     1;	     1
20250729;	192121;	1753797081.000;	     1;	     1
20250729;	192124;	1753797084.000;	     1;	     1
20250729;	192127;	1753797087.000;	     1;	     1
20250729;	192130;	1753797090.000;	     1;	     1
20250729;	192133;	1753797093.000;	     1;	     1
20250729;	192136;	1753797096.000;	     1;	     1
20250729;	192139;	1753797099.000;	     1;	     1
20250729;	192142;	1753797102.000;	     1;	     1
20250729;	192145;	1753797105.000;	     1;	     1
20250729;	192148;	1753797108.000;	     1;	     1
20250729;	192151;	1753797111.000;	     1;	     1
20250729;	192154;	1753797114.000;	     1;	     1
