#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	162311;	1754045591.000;	        err9
20250801;	162312;	1754045592.000;	        err9
20250801;	162313;	1754045593.000;	        err9
20250801;	162314;	1754045594.000;	        err9
20250801;	162315;	1754045595.000;	        err9
20250801;	162316;	1754045596.000;	        err9
20250801;	162317;	1754045597.000;	        err9
20250801;	162318;	1754045598.000;	        err9
20250801;	162319;	1754045599.000;	        err9
20250801;	162320;	1754045600.000;	        err9
20250801;	162321;	1754045601.000;	        err9
20250801;	162322;	1754045602.000;	        err9
20250801;	162323;	1754045603.000;	        err9
20250801;	162324;	1754045604.000;	        err9
20250801;	162325;	1754045605.000;	        err9
20250801;	162326;	1754045606.000;	        err9
20250801;	162327;	1754045607.000;	        err9
20250801;	162328;	1754045608.000;	        err9
20250801;	162329;	1754045609.000;	        err9
20250801;	162330;	1754045610.000;	        err9
20250801;	162331;	1754045611.000;	        err9
20250801;	162332;	1754045612.000;	        err9
20250801;	162333;	1754045613.000;	        err9
20250801;	162334;	1754045614.000;	        err9
20250801;	162335;	1754045615.000;	        err9
20250801;	162336;	1754045616.000;	        err9
20250801;	162337;	1754045617.000;	        err9
20250801;	162338;	1754045618.000;	        err9
20250801;	162339;	1754045619.000;	        err9
20250801;	162340;	1754045620.000;	        err9
20250801;	162341;	1754045621.000;	        err9
20250801;	162342;	1754045622.000;	        err9
20250801;	162343;	1754045623.000;	        err9
20250801;	162344;	1754045624.000;	        err9
20250801;	162345;	1754045625.000;	        err9
20250801;	162346;	1754045626.000;	        err9
20250801;	162347;	1754045627.000;	        err9
20250801;	162348;	1754045628.000;	        err9
20250801;	162349;	1754045629.000;	        err9
20250801;	162350;	1754045630.000;	        err9
20250801;	162351;	1754045631.000;	        err9
20250801;	162352;	1754045632.000;	        err9
20250801;	162353;	1754045633.000;	        err9
20250801;	162354;	1754045634.000;	        err9
20250801;	162355;	1754045635.000;	        err9
20250801;	162356;	1754045636.000;	        err9
20250801;	162357;	1754045637.000;	        err9
20250801;	162358;	1754045638.000;	        err9
20250801;	162359;	1754045639.000;	        err9
20250801;	162400;	1754045640.000;	        err9
20250801;	162401;	1754045641.000;	        err9
20250801;	162402;	1754045642.000;	       err32
20250801;	162403;	1754045643.000;	       err32
20250801;	162404;	1754045644.000;	       err32
20250801;	162405;	1754045645.000;	       err32
20250801;	162406;	1754045646.000;	       err32
20250801;	162407;	1754045647.000;	       err32
20250801;	162408;	1754045648.000;	        err8
20250801;	162409;	1754045649.000;	        err7
20250801;	162410;	1754045650.000;	           0
20250801;	162411;	1754045651.000;	           0
20250801;	162412;	1754045652.000;	           0
20250801;	162413;	1754045653.000;	           0
20250801;	162414;	1754045654.000;	           0
20250801;	162415;	1754045655.000;	           0
20250801;	162416;	1754045656.000;	           0
20250801;	162417;	1754045657.000;	           0
20250801;	162418;	1754045658.000;	           0
20250801;	162419;	1754045659.000;	           0
20250801;	162420;	1754045660.000;	           0
20250801;	162421;	1754045661.000;	           0
20250801;	162422;	1754045662.000;	           0
20250801;	162423;	1754045663.000;	           0
20250801;	162424;	1754045664.000;	           0
20250801;	162425;	1754045665.000;	           0
20250801;	162426;	1754045666.000;	           0
20250801;	162427;	1754045667.000;	           0
20250801;	162428;	1754045668.000;	           0
20250801;	162429;	1754045669.000;	           0
20250801;	162430;	1754045670.000;	           0
20250801;	162431;	1754045671.000;	           0
20250801;	162432;	1754045672.000;	           0
20250801;	162433;	1754045673.000;	           0
20250801;	162434;	1754045674.000;	           0
20250801;	162435;	1754045675.000;	           0
20250801;	162436;	1754045676.000;	           0
20250801;	162437;	1754045677.000;	           0
20250801;	162438;	1754045678.000;	           0
20250801;	162439;	1754045679.000;	           0
20250801;	162440;	1754045680.000;	           0
20250801;	162441;	1754045681.000;	           0
20250801;	162442;	1754045682.000;	           0
20250801;	162443;	1754045683.000;	           0
20250801;	162444;	1754045684.000;	           0
20250801;	162445;	1754045685.000;	           0
20250801;	162446;	1754045686.000;	           0
20250801;	162447;	1754045687.000;	           0
20250801;	162448;	1754045688.000;	           0
20250801;	162449;	1754045689.000;	           0
20250801;	162450;	1754045690.000;	           0
20250801;	162451;	1754045691.000;	           0
20250801;	162452;	1754045692.000;	           0
20250801;	162453;	1754045693.000;	           0
20250801;	162454;	1754045694.000;	           0
20250801;	162455;	1754045695.000;	           0
20250801;	162456;	1754045696.000;	           0
20250801;	162457;	1754045697.000;	           0
20250801;	162458;	1754045698.000;	           9
20250801;	162459;	1754045699.000;	           9
20250801;	162500;	1754045700.000;	           9
20250801;	162501;	1754045701.000;	           9
20250801;	162502;	1754045702.000;	           9
20250801;	162503;	1754045703.000;	           9
20250801;	162504;	1754045704.000;	           9
20250801;	162505;	1754045705.000;	           9
20250801;	162506;	1754045706.000;	           9
20250801;	162507;	1754045707.000;	           9
20250801;	162508;	1754045708.000;	           9
20250801;	162509;	1754045709.000;	           9
20250801;	162510;	1754045710.000;	           9
20250801;	162511;	1754045711.000;	           9
20250801;	162512;	1754045712.000;	           9
20250801;	162513;	1754045713.000;	           9
20250801;	162514;	1754045714.000;	           9
20250801;	162515;	1754045715.000;	           9
20250801;	162516;	1754045716.000;	           9
20250801;	162517;	1754045717.000;	           9
20250801;	162518;	1754045718.000;	           9
20250801;	162519;	1754045719.000;	           9
20250801;	162520;	1754045720.000;	           9
20250801;	162521;	1754045721.000;	           9
20250801;	162522;	1754045722.000;	           9
20250801;	162523;	1754045723.000;	           9
20250801;	162524;	1754045724.000;	           9
20250801;	162525;	1754045725.000;	           9
20250801;	162526;	1754045726.000;	           9
20250801;	162527;	1754045727.000;	           9
20250801;	162528;	1754045728.000;	           9
20250801;	162529;	1754045729.000;	           9
20250801;	162530;	1754045730.000;	           9
20250801;	162531;	1754045731.000;	           9
20250801;	162532;	1754045732.000;	           9
20250801;	162533;	1754045733.000;	           9
20250801;	162534;	1754045734.000;	           9
20250801;	162535;	1754045735.000;	           9
20250801;	162536;	1754045736.000;	           9
20250801;	162537;	1754045737.000;	           9
20250801;	162538;	1754045738.000;	           9
20250801;	162539;	1754045739.000;	           9
20250801;	162540;	1754045740.000;	           9
20250801;	162541;	1754045741.000;	           9
20250801;	162542;	1754045742.000;	           9
20250801;	162543;	1754045743.000;	           9
20250801;	162544;	1754045744.000;	           9
20250801;	162545;	1754045745.000;	           9
20250801;	162546;	1754045746.000;	           9
20250801;	162547;	1754045747.000;	           9
20250801;	162548;	1754045748.000;	           9
20250801;	162549;	1754045749.000;	           9
20250801;	162550;	1754045750.000;	           9
20250801;	162551;	1754045751.000;	           9
20250801;	162552;	1754045752.000;	           9
20250801;	162553;	1754045753.000;	           9
20250801;	162554;	1754045754.000;	           9
20250801;	162555;	1754045755.000;	           9
20250801;	162556;	1754045756.000;	           9
20250801;	162557;	1754045757.000;	           9
20250801;	162558;	1754045758.000;	           9
20250801;	162559;	1754045759.000;	           9
20250801;	162600;	1754045760.000;	           9
20250801;	162601;	1754045761.000;	           9
20250801;	162602;	1754045762.000;	           9
20250801;	162603;	1754045763.000;	           9
20250801;	162604;	1754045764.000;	           9
20250801;	162605;	1754045765.000;	           9
20250801;	162606;	1754045766.000;	           9
20250801;	162607;	1754045767.000;	           9
20250801;	162608;	1754045768.000;	           9
20250801;	162609;	1754045769.000;	           9
20250801;	162610;	1754045770.000;	           9
20250801;	162611;	1754045771.000;	           9
20250801;	162612;	1754045772.000;	           9
20250801;	162613;	1754045773.000;	           9
20250801;	162614;	1754045774.000;	           9
20250801;	162615;	1754045775.000;	           9
20250801;	162616;	1754045776.000;	           9
20250801;	162617;	1754045777.000;	           9
20250801;	162618;	1754045778.000;	           9
20250801;	162619;	1754045779.000;	           9
20250801;	162620;	1754045780.000;	           9
20250801;	162621;	1754045781.000;	           9
20250801;	162622;	1754045782.000;	           9
20250801;	162623;	1754045783.000;	           9
20250801;	162624;	1754045784.000;	           9
20250801;	162625;	1754045785.000;	           9
20250801;	162626;	1754045786.000;	           9
20250801;	162627;	1754045787.000;	           9
20250801;	162628;	1754045788.000;	           9
20250801;	162629;	1754045789.000;	           9
20250801;	162630;	1754045790.000;	           9
20250801;	162631;	1754045791.000;	           9
20250801;	162632;	1754045792.000;	           9
20250801;	162633;	1754045793.000;	           9
20250801;	162634;	1754045794.000;	           9
20250801;	162635;	1754045795.000;	           9
20250801;	162636;	1754045796.000;	           9
20250801;	162637;	1754045797.000;	           9
20250801;	162638;	1754045798.000;	           9
20250801;	162639;	1754045799.000;	           9
20250801;	162640;	1754045800.000;	           9
20250801;	162641;	1754045801.000;	           9
20250801;	162642;	1754045802.000;	           9
20250801;	162643;	1754045803.000;	           9
20250801;	162644;	1754045804.000;	           9
20250801;	162645;	1754045805.000;	           9
20250801;	162646;	1754045806.000;	           9
20250801;	162647;	1754045807.000;	           9
20250801;	162648;	1754045808.000;	           9
20250801;	162649;	1754045809.000;	           9
20250801;	162650;	1754045810.000;	           9
20250801;	162651;	1754045811.000;	           9
20250801;	162652;	1754045812.000;	           9
20250801;	162653;	1754045813.000;	           9
20250801;	162654;	1754045814.000;	           9
20250801;	162655;	1754045815.000;	           9
20250801;	162656;	1754045816.000;	           9
20250801;	162657;	1754045817.000;	           9
20250801;	162658;	1754045818.000;	           9
20250801;	162659;	1754045819.000;	           9
20250801;	162700;	1754045820.000;	           9
20250801;	162701;	1754045821.000;	           9
20250801;	162702;	1754045822.000;	           9
20250801;	162703;	1754045823.000;	           9
20250801;	162704;	1754045824.000;	           9
20250801;	162705;	1754045825.000;	           9
20250801;	162706;	1754045826.000;	           9
20250801;	162707;	1754045827.000;	           9
20250801;	162708;	1754045828.000;	           9
20250801;	162709;	1754045829.000;	           9
20250801;	162710;	1754045830.000;	           9
20250801;	162711;	1754045831.000;	           9
20250801;	162712;	1754045832.000;	           9
20250801;	162713;	1754045833.000;	           9
20250801;	162714;	1754045834.000;	           9
20250801;	162715;	1754045835.000;	           9
20250801;	162716;	1754045836.000;	           9
20250801;	162717;	1754045837.000;	           9
20250801;	162718;	1754045838.000;	           9
20250801;	162719;	1754045839.000;	           9
20250801;	162720;	1754045840.000;	           9
20250801;	162721;	1754045841.000;	           9
20250801;	162722;	1754045842.000;	           9
20250801;	162723;	1754045843.000;	           9
20250801;	162724;	1754045844.000;	           9
20250801;	162725;	1754045845.000;	           9
20250801;	162726;	1754045846.000;	           9
20250801;	162727;	1754045847.000;	           9
20250801;	162728;	1754045848.000;	           9
20250801;	162729;	1754045849.000;	           9
20250801;	162730;	1754045850.000;	           9
20250801;	162731;	1754045851.000;	           9
20250801;	162732;	1754045852.000;	           9
20250801;	162733;	1754045853.000;	           9
20250801;	162734;	1754045854.000;	           9
20250801;	162735;	1754045855.000;	           9
20250801;	162736;	1754045856.000;	           9
20250801;	162737;	1754045857.000;	           9
20250801;	162738;	1754045858.000;	           9
20250801;	162739;	1754045859.000;	           9
20250801;	162740;	1754045860.000;	           9
20250801;	162741;	1754045861.000;	           9
20250801;	162742;	1754045862.000;	           9
20250801;	162743;	1754045863.000;	           9
20250801;	162744;	1754045864.000;	           9
20250801;	162745;	1754045865.000;	           9
20250801;	162746;	1754045866.000;	           9
20250801;	162747;	1754045867.000;	           9
20250801;	162748;	1754045868.000;	           9
20250801;	162749;	1754045869.000;	           9
20250801;	162750;	1754045870.000;	           9
20250801;	162751;	1754045871.000;	           9
20250801;	162752;	1754045872.000;	           9
20250801;	162753;	1754045873.000;	           9
20250801;	162754;	1754045874.000;	           9
20250801;	162755;	1754045875.000;	           9
20250801;	162756;	1754045876.000;	           9
20250801;	162757;	1754045877.000;	           9
20250801;	162758;	1754045878.000;	           9
20250801;	162759;	1754045879.000;	           9
20250801;	162800;	1754045880.000;	           9
20250801;	162801;	1754045881.000;	           9
20250801;	162802;	1754045882.000;	           9
20250801;	162803;	1754045883.000;	           9
20250801;	162804;	1754045884.000;	           9
20250801;	162805;	1754045885.000;	           9
20250801;	162806;	1754045886.000;	           9
20250801;	162807;	1754045887.000;	           9
20250801;	162808;	1754045888.000;	           9
20250801;	162809;	1754045889.000;	           9
20250801;	162810;	1754045890.000;	           9
20250801;	162811;	1754045891.000;	           9
20250801;	162812;	1754045892.000;	           9
20250801;	162813;	1754045893.000;	           9
20250801;	162814;	1754045894.000;	           9
20250801;	162815;	1754045895.000;	           9
20250801;	162816;	1754045896.000;	           9
