#ies_format_version: 1.0
#file: 20250801_3000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 3.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device-1_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	device-2_B_32;	FALSE;	TRUE;	0;	other;	BOOLEAN,6. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device-1_A_31;	device-2_B_32
20250801;	154121;	1754043081.000;	        err7;	  err7
20250801;	154124;	1754043084.000;	           0;	     0
20250801;	154127;	1754043087.000;	           0;	     0
20250801;	154130;	1754043090.000;	           0;	     0
20250801;	154133;	1754043093.000;	           0;	     0
20250801;	154136;	1754043096.000;	           0;	     0
20250801;	154139;	1754043099.000;	           0;	     0
20250801;	154142;	1754043102.000;	           0;	     0
20250801;	154145;	1754043105.000;	           0;	     0
20250801;	154148;	1754043108.000;	           0;	     0
20250801;	154151;	1754043111.000;	           0;	     0
20250801;	154154;	1754043114.000;	           0;	     0
20250801;	154157;	1754043117.000;	           0;	     0
20250801;	154200;	1754043120.000;	           0;	     0
20250801;	154203;	1754043123.000;	           0;	     0
20250801;	154206;	1754043126.000;	           0;	     0
20250801;	154209;	1754043129.000;	           0;	     0
20250801;	154212;	1754043132.000;	           0;	     0
20250801;	154215;	1754043135.000;	           0;	     0
20250801;	154218;	1754043138.000;	           0;	     0
20250801;	154221;	1754043141.000;	           0;	     0
20250801;	154224;	1754043144.000;	           0;	     0
20250801;	154227;	1754043147.000;	           0;	     0
20250801;	154230;	1754043150.000;	           0;	     0
20250801;	154233;	1754043153.000;	           0;	     0
20250801;	154236;	1754043156.000;	           0;	     0
20250801;	154239;	1754043159.000;	           0;	     0
20250801;	154242;	1754043162.000;	           0;	     0
20250801;	154245;	1754043165.000;	           0;	     0
20250801;	154248;	1754043168.000;	           0;	     0
20250801;	154251;	1754043171.000;	           0;	     0
20250801;	154254;	1754043174.000;	           0;	     0
20250801;	154257;	1754043177.000;	           0;	     0
20250801;	154300;	1754043180.000;	           0;	     0
20250801;	154303;	1754043183.000;	           0;	     0
20250801;	154306;	1754043186.000;	           0;	     0
20250801;	154309;	1754043189.000;	           0;	     0
20250801;	154312;	1754043192.000;	           0;	     0
20250801;	154315;	1754043195.000;	           4;	     0
20250801;	154318;	1754043198.000;	           4;	     0
20250801;	154321;	1754043201.000;	           4;	     0
20250801;	154324;	1754043204.000;	           4;	     0
20250801;	154327;	1754043207.000;	           4;	     0
20250801;	154330;	1754043210.000;	           4;	     0
20250801;	154333;	1754043213.000;	           4;	     0
20250801;	154336;	1754043216.000;	           4;	     0
20250801;	154339;	1754043219.000;	           4;	     0
20250801;	154342;	1754043222.000;	           4;	     0
20250801;	154345;	1754043225.000;	       err32;	 err32
20250801;	154348;	1754043228.000;	       err32;	 err32
20250801;	154351;	1754043231.000;	       err32;	 err32
20250801;	154354;	1754043234.000;	       err32;	 err32
20250801;	154357;	1754043237.000;	       err32;	 err32
20250801;	154400;	1754043240.000;	       err32;	 err32
20250801;	154403;	1754043243.000;	       err32;	 err32
20250801;	154406;	1754043246.000;	       err32;	 err32
20250801;	154409;	1754043249.000;	       err32;	 err32
20250801;	154412;	1754043252.000;	       err32;	 err32
20250801;	154415;	1754043255.000;	       err32;	 err32
20250801;	154418;	1754043258.000;	       err32;	 err32
20250801;	154421;	1754043261.000;	       err32;	 err32
20250801;	154424;	1754043264.000;	       err32;	 err32
20250801;	154427;	1754043267.000;	       err32;	 err32
20250801;	154430;	1754043270.000;	       err32;	 err32
20250801;	154433;	1754043273.000;	       err32;	 err32
20250801;	154436;	1754043276.000;	       err32;	 err32
20250801;	154439;	1754043279.000;	       err32;	 err32
20250801;	154442;	1754043282.000;	       err32;	 err32
20250801;	154445;	1754043285.000;	       err32;	 err32
20250801;	154448;	1754043288.000;	       err32;	 err32
20250801;	154451;	1754043291.000;	       err32;	 err32
20250801;	154454;	1754043294.000;	       err32;	 err32
20250801;	154457;	1754043297.000;	       err32;	 err32
20250801;	154500;	1754043300.000;	       err32;	 err32
20250801;	154503;	1754043303.000;	       err32;	 err32
20250801;	154506;	1754043306.000;	       err32;	 err32
20250801;	154509;	1754043309.000;	       err32;	 err32
20250801;	154512;	1754043312.000;	       err32;	 err32
20250801;	154515;	1754043315.000;	       err32;	 err32
20250801;	154518;	1754043318.000;	       err32;	 err32
20250801;	154521;	1754043321.000;	       err32;	 err32
20250801;	154524;	1754043324.000;	       err32;	 err32
20250801;	154527;	1754043327.000;	       err32;	 err32
20250801;	154530;	1754043330.000;	       err32;	 err32
20250801;	154533;	1754043333.000;	       err32;	 err32
20250801;	154536;	1754043336.000;	       err32;	 err32
20250801;	154539;	1754043339.000;	       err32;	 err32
20250801;	154542;	1754043342.000;	       err32;	 err32
20250801;	154545;	1754043345.000;	       err32;	 err32
20250801;	154548;	1754043348.000;	       err32;	 err32
20250801;	154551;	1754043351.000;	       err32;	 err32
